review_id,movie_id,viewer_id,rating,sentiment,review_date,review_text
1,1,1,9,positive,2025-01-17,"Absolutely thrilling from start to finish. Stellar Run is the best action film this year!"
2,1,6,9,positive,2025-01-21,"Incredible pacing and stunning visuals. Stellar Run exceeded all expectations."
3,1,9,8,positive,2025-01-23,"A must-watch. Great performances, amazing action sequences in Stellar Run."
4,1,12,10,positive,2025-01-26,"Stellar Run is a masterpiece. Cannot stop thinking about it."
5,2,2,8,positive,2024-03-26,"Dark Orbit had a compelling story and excellent world-building."
6,2,7,7,positive,2024-03-29,"Good sci-fi movie, Dark Orbit kept me engaged throughout."
7,2,16,8,positive,2024-03-31,"Dark Orbit delivers on its premise with a satisfying ending."
8,3,3,8,positive,2024-07-13,"Last Kingdom is emotionally powerful and beautifully shot."
9,3,10,9,positive,2024-07-16,"One of the best dramas I've seen. Last Kingdom deserves all the praise."
10,3,19,8,positive,2024-07-19,"Last Kingdom is a gripping historical epic with outstanding acting."
11,4,5,7,positive,2025-03-03,"Neon Mirage was an entertaining thriller with a few plot holes."
12,4,25,7,positive,2025-03-06,"Solid thriller. Neon Mirage kept me guessing until the end."
13,5,8,9,positive,2025-04-08,"Hollow Earth is spectacular. The CGI and story are both top-notch."
14,5,14,10,positive,2025-04-11,"Best movie of the year! Hollow Earth is pure cinematic perfection."
15,5,23,9,positive,2025-04-13,"Hollow Earth is a visual feast with a compelling narrative."
16,6,11,8,positive,2024-11-06,"Crimson Tide II surpassed the original. Explosive and well-directed."
17,7,15,5,negative,2025-03-17,"The Laughing House tried too hard to be funny. Very disappointing."
18,7,21,4,negative,2024-08-13,"Weak comedy, jokes fell flat most of the time."
19,7,36,5,negative,2025-03-21,"Comedy was formulaic and lacked originality."
20,8,22,7,positive,2024-06-21,"Broken Compass is a quiet, reflective drama worth watching."
21,9,13,9,positive,2025-02-02,"Fire & Frost is breathtaking. One of the best action films in recent memory."
22,9,31,9,positive,2025-02-06,"Fire & Frost has incredible chemistry between leads and non-stop action."
23,10,4,6,neutral,2025-05-22,"The Quiet Room was decent but felt too slow in the second act."
24,11,21,5,negative,2024-08-14,"Laugh Track was predictable and the humor felt dated."
25,11,40,4,negative,2024-08-20,"Very disappointing. Comedy in Laugh Track was cringe-worthy."
26,12,18,9,positive,2025-06-15,"Vortex Rising is sci-fi at its finest. Mind-blowing concept."
27,12,29,9,positive,2025-06-20,"Vortex Rising has a brilliantly complex plot that rewards attentive viewers."
28,13,33,8,positive,2024-02-19,"Shadow Protocol is a tense, well-crafted thriller."
29,14,1,7,positive,2025-07-05,"Blue Horizon is a touching drama about family and resilience."
30,15,36,5,negative,2025-03-30,"Comic Chaos was neither comic nor chaotic enough. Very average."
31,15,27,4,negative,2025-04-01,"Comedy felt forced and characters were stereotypical."
32,16,30,8,positive,2024-09-20,"Iron Phoenix is a relentless action film with great stunts."
33,17,20,7,positive,2025-08-16,"Silent Echo kept me on edge the entire runtime."
34,18,24,8,positive,2024-05-01,"Parallel Lives explores fascinating philosophical territory."
35,19,15,4,negative,2024-10-23,"The Comedy Club had a few laughs but mostly fell flat."
36,19,40,3,negative,2024-10-28,"Terrible pacing and stale humor in The Comedy Club."
37,20,26,7,positive,2025-02-08,"Ember Falls is a tender drama with strong emotional beats."
38,1,17,9,positive,2025-01-29,"Stellar Run is action perfection. Watched it twice already!"
39,5,41,10,positive,2025-04-25,"Hollow Earth changed how I think about big-budget sci-fi."
40,9,44,8,positive,2025-02-16,"Fire & Frost hits every beat. Highly recommended."
